date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999985818512,1.0000000014722255,46303774477
2024-12-25,1.0,0.9999999984956963,1.000000001450476,46303774477
2024-12-26,1.0,0.999999998049406,1.0000000018839297,46303774477
2024-12-27,1.0,0.9999999971591891,1.0000000023706277,46303774477
2024-12-28,1.0,0.9999999960803769,1.0000000037592618,46303774477
2024-12-29,1.0,0.9999999944079141,1.0000000050576365,46303774477
2024-12-30,1.0,0.999999992447106,1.0000000068238657,46303774477
2024-12-31,1.0,0.9999999912068376,1.0000000090489671,46303774477
2025-01-01,1.0,0.9999999886049441,1.0000000105187024,46303774477
2025-01-02,1.0,0.9999999863324648,1.0000000128405657,46303774477
2025-01-03,1.0,0.9999999836357295,1.000000014853343,46303774477
2025-01-04,1.0,0.9999999815526881,1.000000016702197,46303774477
2025-01-05,1.0,0.9999999791341979,1.0000000190857288,46303774477
2025-01-06,1.0,0.9999999766529424,1.0000000220738468,46303774477
2025-01-07,1.0,0.9999999738999975,1.000000024269624,46303774477
2025-01-08,1.0,0.9999999711069095,1.0000000276116774,46303774477
2025-01-09,1.0,0.9999999674206089,1.0000000314182587,46303774477
2025-01-10,1.0,0.9999999655029962,1.00000003460296,46303774477
2025-01-11,1.0,0.9999999625343204,1.0000000373953797,46303774477
2025-01-12,1.0,0.9999999589329039,1.0000000403201144,46303774477
2025-01-13,1.0,0.9999999549698283,1.00000004405823,46303774477
2025-01-14,1.0,0.9999999531598457,1.0000000468037886,46303774477
2025-01-15,1.0,0.9999999481224926,1.0000000505723399,46303774477
2025-01-16,1.0,0.9999999433931039,1.000000054964866,46303774477
2025-01-17,1.0,0.999999939724621,1.000000057992788,46303774477
2025-01-18,1.0,0.9999999350476937,1.0000000618572038,46303774477
2025-01-19,1.0,0.9999999304277736,1.0000000660033062,46303774477
2025-01-20,1.0,0.9999999274165411,1.0000000713309012,46303774477
2025-03-04,1.9999996656589085,1.9999996656575088,1.9999996656603627,46303862950
2025-03-05,1.9999996656589087,1.999999665657423,1.99999966566035,46303862950
2025-03-06,1.9999996656589092,1.9999996656572148,1.9999996656604753,46303862950
2025-03-07,1.9999996656589094,1.9999996656572359,1.9999996656608083,46303862950
2025-03-08,1.9999996656589096,1.9999996656570784,1.9999996656609984,46303862950
2025-03-09,1.99999966565891,1.999999665656657,1.999999665661364,46303862950
2025-03-10,1.9999996656589103,1.999994592488398,1.9999996656622694,46303862950
2025-03-11,1.9999996656589105,1.9999828275741023,2.000054900871644,46303862950
2025-03-12,1.9999996656589107,1.9999425599886662,2.000104408221287,46303862950
2025-03-13,1.9999996656589112,1.9999099306747339,2.0001641989356442,46303862950
2025-03-14,1.9999996656589114,1.9998787978863417,2.0002617428030565,46303862950
2025-03-15,1.9999996656589116,1.9998252465970257,2.000355409545028,46303862950
2025-03-16,1.9999996656589119,1.9997453694280147,2.0004649064116498,46303862950
2025-03-17,1.9999996656589123,1.999672446494813,2.0005855706665385,46303862950
2025-03-18,1.9999996656589125,1.999608345389789,2.0007240498699255,46303862950
2025-03-19,1.9999996656589127,1.9995045759548522,2.0008527477466234,46303862950
2025-03-20,1.9999996656589132,1.9994576309271839,2.000941880145752,46303862950
2025-03-21,1.9999996656589134,1.9993711369476774,2.001053705185487,46303862950
2025-03-22,1.9999996656589136,1.9992449919640276,2.001225578094805,46303862950
2025-03-23,1.9999996656589138,1.9991783452265537,2.0013749797915064,46303862950
2025-03-24,1.9999996656589143,1.9990943702873933,2.0014927717635715,46303862950
2025-03-25,1.9999996656589145,1.9989422636979743,2.001673896995227,46303862950
2025-03-26,1.9999996656589147,1.9988502997532283,2.0018092258803435,46303862950
2025-03-27,1.999999665658915,1.998702957015195,2.001998823250998,46303862950
2025-03-28,1.9999996656589154,1.9985381277836807,2.0021344895090616,46303862950
2025-03-29,1.9999996656589156,1.9984359338059234,2.002301171451209,46303862950
2025-03-30,1.9999996656589158,1.998337649887193,2.0024841204555472,46303862950
2025-03-31,1.9999996656589163,1.9981447840102113,2.002714536240349,46303862950
2025-03-04,5.434594712288739,1.1065843384451302,9.940426721696731,46303877432
2025-03-05,4.865590756422694,0.5697975885895726,8.710073784594822,46303877432
2025-03-06,4.296586800556636,-0.071015138325939,8.207520184355301,46303877432
2025-03-07,3.727582844690591,-0.7436670800961833,7.8466888392047816,46303877432
2025-03-08,3.1585788888245467,-1.0103825816272798,7.231984591211006,46303877432
2025-03-09,2.5895749329585023,-1.4416615393074341,6.6556928829366075,46303877432
2025-03-10,2.020570977092458,-2.210905289002084,6.1518109869030315,46303877432
2025-03-11,1.4515670212264133,-2.5264219316639442,5.618862367725098,46303877432
2025-03-12,0.8825630653603618,-3.2812636910165454,5.0274183934195555,46303877432
2025-03-13,0.3135591094943173,-4.075730865927797,4.185831002243305,46303877432
2025-03-14,-0.25544484637172715,-4.4211874550817365,3.868224725659163,46303877432
2025-03-15,-0.8244488022377716,-5.196209032158309,3.2096801418557277,46303877432
2025-03-16,-1.393452758103816,-5.625708294835406,2.6374007963498696,46303877432
2025-03-17,-1.9624567139698605,-6.03964427961569,2.251022060787932,46303877432
2025-03-18,-2.531460669835919,-6.7485464872977365,1.8664808313616927,46303877432
2025-03-19,-3.1004646257019637,-7.0431379026873095,1.3000070890303566,46303877432
2025-03-20,-3.669468581568008,-7.51336203913616,0.30463183134245597,46303877432
2025-03-21,-4.238472537434053,-8.366822868449251,-0.19944048256135508,46303877432
2025-03-22,-4.807476493300097,-8.68184229917539,-0.5944729949262862,46303877432
